MOVIE TITLE - ENG,MOVIE TITLE - DAN,MOVIE TITLE - Greenlandic,FILE_NAME,FORMAT,LANGUAGE OPTIONS - ENG,LANGUAGE OPTIONS - DAN,SUBTITLE OPTIONS,SUBTITLE OPTIONS - DAN,GENRE - ENG,GENRE - DAN,GENRE - Greenlandic,DURATION,RATING,DIRECTOR,CAST,SYNOPSIS - ENG,SYNOPSIS - DAN,SYNOPSIS - Greenlandic
Creed II,Creed II,Creed II,AG0619_NRV_03,mp4,English,Engelsk,,,Drama,Drama,Pissanganartuliaq,130,PG-13,Steven Caple Jr.,"Michael B. Jordan, Tessa Thompson, Sylvester Stallone","The next chapter in the Adonis Creed story follows his life inside and outside of the ring as he deals with new-found fame, issues with his family, and his continuing quest to become a champion.","Det næste kapitel i Adonis Creed-historien følger hans liv inden for og uden for ringen, da han skal tage sig af sin nye berømmelse, problemer med sin familie og hans fortsatte søgen efter at blive en mester.","Immikkortortami tulliuttumi Adonis Greedip oqaluttuarisaanerani tilluuttarfimmi tamatumalu avataani inuunera malinnaavigineqarpoq, tassami tusaamasaanngorsimanini, ilaquttaminut ajornartorsiuteqarnini aammalu pissartanngorsinnaanissaminut ujartuinera eqqarsaatigineqartariaqarmat."
The Kid Who Would Be King,The Kid Who Would Be King,The Kid Who Would Be King,AG0619_NRV_01,mp4,English,Engelsk,,,Family,Familie,Pissanganartuliaq,120,PG,Joe Cornish,"Rebecca Ferguson, Tom Taylor, Patrick Stewart","Alex thinks he's just another nobody, until he stumbles on the Sword in the Stone, Excalibur. Now, he must unite his friends and enemies and together with the legendary wizard Merlin, take on the wicked enchantress Morgana.","Alex synes, han bare er et nul, indtil han snubler over sværdet i stenen, Excalibur. Nu skal han samle sine venner og fjender og sammen med den legendariske troldmand Merlin besejre den onde troldkvinde Morgana. ","Alex isumaqarpoq suunngitsuulluni, kisiannili taamaalluni ujaqqamiittoq panaq Exalibur naakkiuffigaa. Angakkoq tusaamasaq Merlin peqatigalugu ikinngutini aamma akeqqani katersortissavai, angakkoq arnaq ajorniarumatooq Morgana ajugaaffiniassagamikku."
The Mule,The Mule,The Mule,AG0619_NRV_04,mp4,English,Engelsk,,,Crime,Krimi,Pinerluttulersaarut,116,R,Clint Eastwood,"Clint Eastwood, Bradley Cooper, Michael Peña",A 90-year-old horticulturist and WWII veteran is caught transporting $3 million worth of cocaine through Michigan for a Mexican drug cartel.,"En 90-årig gartner og veteran fra anden verdenskrig bliver fanget, da han transporterer kokain til en værdi af 3 millioner dollars gennem Michigan til et mexicansk narkokartel. ","Naatsivilerisoq aamma sorsunnersuup aappaani sakkutuujusimasoq 90-nik ukiulik tigusaavoq, Michiganikkoorluni  kokain mexicomiunut ikiaroornatulerisunut kokain 3 million dollars naleqartuusunit assartuinermini."
Widows,Widows,Widows,AG0619_NRV_02,mp4,English,Engelsk,,,Crime,Krimi,Pinerluttulersaarut,128,R,Steve McQueen,"Viola Davis, Elizabeth Debicki, Carrie Coon","Set in contemporary Chicago, amidst a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.","I det moderne Chicago, i en tid med uro, tager fire kvinder med kun en gæld til fælles, som de har arvet fra deres døde mænds kriminelle aktiviteter, skæbnen i deres egne hænder og konspirerer for at skabe en fremtid på deres egne vilkår.","Chicago moderniusoq, piffissaq perulluliorfiusumi arnat sisamat akiitsorpassuaqarnertik tunngavigalugu siunissamilu pitsaasumik atugaqarumallutik, uigisimasatik toqusimasut pinerlinnermillu suliniuteqartarsimasut tunngavigalugit, atugarisatik namminneq aqunniarlugit aalajangerput, anngiortumik pilersaarusioqatigiipput, siunissami nammineq atugarisassatik pilersikkumallugit."
A Star Is Born,A Star Is Born,A Star Is Born,AG0319_NRV_04,mp4,English,Engelsk,,,Drama,Drama,Pissanganartuliaq,136,R,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott","A musician helps a young singer and actress find fame, even as age and alcoholism send his own career into a downward spiral.","En musiker hjælper en yngre sanger og skuespiller med at blive berømt, selv da alder og alkoholisme er skyld i, at hans egen karriere er på vej ned.","Nipilersortartup, inuusuttoq erinarsortartoq aamma isiginnaartitsisartoq ikiorpaa tusaamasanngortillugu, naak nammineq ingerlanini ammut ingerlagaluartoq."
Bohemian Rhapsody,Bohemian Rhapsody,Bohemian Rhapsody,AG0319_NRV_02,mp4,English,Engelsk,,,Biography,Biografi,Pisimasumik oqaluttuaq,134,PG-13,Bryan Singer,"Rami Malek, Joseph Mazzello, Mike Myers",A chronicle of the years leading up to Queen's legendary appearance at the Live Aid (1985) concert.,"En krønike om de år, som førte til Queens legendariske optræden på Live Aid (1985) koncerten.","Nipilersortartut Queens pillugu oqaluttuaq, 1985-mi tusarnaartitsinerat tusaamasaassutigilernerat Live Aid Koncert sioqqullugu pisimasut"
Eddie The Eagle,Eddie The Eagle,Eddie The Eagle,AG0619_HCV_01,mp4,English,Engelsk,,,Action,Action,Annilaarnartoq,105,PG-13,Dexter Fletcher,"Taron Egerton, Hugh Jackman, Christopher Walken","A feel-good story about Michael ""Eddie"" Edwards, an unlikely but courageous British ski-jumper who never stopped believing in himself – even as an entire nation was counting him out.","En dejlig historie om Michael ""Eddie"" Edwards, en utrolig men modig britisk skihopper, som altid troede på sig selv - selv da en hel nation udelukkede ham.","Oqaluttuaq nuannersoq, Michael ”Eddie” Edvards pillugu, tinngallattaartartoq tupinnaannartuusoq aamma sappiitsuusoq, imminut tatigiuartuusoq – naak naalagaaffimmiit peqataatinneqanngikaluarluniluunniit. "
Me Before You,Mig Før Dig,Me Before You,AG0619_HCV_05,mp4,English,Engelsk,,,Romance,Romantik,Asanninnilersaarut,110,PG-13,Thea Sharrock,"Emilia Clarke, Sam Claflin, Jenna Coleman",A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,"En pige fra en lille by bliver stik imod alle odds venner med en nyligt lammet mand, hun passer.","Niviarsiaraq illoqarfeerannguameersoq, ilimagisaq eqquutinngikkaluartoq, angut qanittumi nukillaarsimasoq paarisani ikinngutigilersimavaa."
Interstellar,Interstellar,Interstellar,AG0619_HCV_04,mp4,English,Engelsk,,,Sci-Fi,Sci-Fi,Sci-FI,169,PG-13,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Et hold efterforskere rejser gennem et ormehul i rummet i et forsøg på at sikre menneskehedens overlevelse.,"Ilisimasassarsiortut avataarsuani soqanngitsumi angalapput, silarsuarmiut inuit aniguisinneqarnissaat qulakkeerumallugu."
Horrible Bosses,De satans chefer,Horrible Bosses,AG0619_HCV_03,mp4,English,Engelsk,,,Comedy,Komedie,Quiasaarusiaq,96,R,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis",Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,"Tre venner går i komplot for at myrde deres frygtelige chefer, da de opdager, at de står i vejen for deres lykke.","Ikinngutigiit pingasut peqatigiinniapilullutik pisortarisatit sussaanngitsuusut toqunnialerpaat, paasimagamikku pilluartuunissaminnut akornusersuisut."
The LEGO Batman Movie,Lego Batman filmen,The LEGO Batman Movie,AG0619_HCV_06,mp4,"English, Danish","Engelsk, dansk",,,Animation,Animation,Titartagaq,104,PG,Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.","En Bruce Wayne, smartere end nogensinde, skal klare de sædvanlige mistænkte, da de planlægger at regere Gotham City, og opdager, at han utilsigtet har adopteret en forældreløs teenager, som gerne vil være hans makker.","Bruce Wayne aatsaat taamak kakkatsigilersimasoq, pisarnertut pasisat ajugaaffigissagamigit, tassami Gotham City naalagaaffigerusullugu pilersaarusiorput, aammami Brucep paasivaa, inuusuttuaraq angajoqqaaqanngitsoq siunertarineqanngikkaluartumik qitornarsiarilersimallugu, taassumalumi kammattarerusummani."
X-Men: First Class,X-Men: First Class,X-Men: First Class,AG0619_HCV_02,mp4,English,Engelsk,,,Action,Action,Annilaarnartoq,131,PG-13,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence","In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.","I 1962 får den amerikanske regering hjælp fra mutanter med supermenneske-kræfter for at stoppe en ondsindet diktator, som er fast besluttet på at starte 3. verdenskrig.","Ukioq 1962-mi amerikkami naalakkersuisut mutantinik pisaanilissuarniit ikiorneqarput, kisermaassilluni naalakkersuisoq ajorniartorujussuaq sorsunnersuit pingajuannit aallartitsiniarluni aaliangiussaqarsimasoq unitsinniarlugu."
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
